# Size  FLOAT_C  FLOAT_SSE2  FLOAT_CUDA  FLOAT_CUDA2  FLOAT_CUDA_INV  BIT_C  BIT_SSE2  BIT_CUDA  BIT_CUDA2  BIT_CUDA_INV  SIGN_C  SIGN_SSE2  SIGN_CUDA  SIGN_CUDA2  SIGN_CUDA_INV 
  3900  0.010000  0.000000  0.000000  0.000000  0.000000  0.000000  0.160000  0.000000  0.000000  0.000000  0.000000  0.150000  0.000000  0.000000  0.000000  
  4000  0.010000  0.000000  0.000000  0.010000  0.000000  0.000000  0.160000  0.000000  0.000000  0.000000  0.000000  0.160000  0.000000  0.000000  0.000000  
  4100  0.000000  0.010000  0.010000  0.010000  0.000000  0.000000  0.160000  0.000000  0.000000  0.000000  0.000000  0.160000  0.000000  0.000000  0.010000  
  4200  0.000000  0.000000  0.010000  0.000000  0.000000  0.000000  0.160000  0.000000  0.000000  0.000000  0.000000  0.160000  0.000000  0.000000  0.000000  
  4300  0.010000  0.000000  0.010000  0.000000  0.010000  0.000000  0.180000  0.000000  0.000000  0.000000  0.000000  0.170000  0.000000  0.000000  0.000000  
  4400  0.000000  0.000000  0.010000  0.000000  0.010000  0.000000  0.170000  0.000000  0.010000  0.000000  0.000000  0.160000  0.000000  0.000000  0.000000  
  4500  0.000000  0.010000  0.000000  0.010000  0.010000  0.000000  0.190000  0.000000  0.000000  0.000000  0.000000  0.170000  0.000000  0.010000  0.000000  
  4600  0.000000  0.010000  0.010000  0.010000  0.000000  0.000000  0.180000  0.000000  0.000000  0.000000  0.000000  0.180000  0.000000  0.000000  0.000000  
  4700  0.010000  0.000000  0.010000  0.000000  0.010000  0.000000  0.200000  0.000000  0.000000  0.000000  0.000000  0.180000  0.000000  0.000000  0.000000  
  4800  0.010000  0.010000  0.000000  0.010000  0.010000  0.000000  0.190000  0.000000  0.000000  0.010000  0.000000  0.180000  0.000000  0.000000  0.000000  
  4900  0.010000  0.000000  0.000000  0.010000  0.010000  0.000000  0.200000  0.000000  0.000000  0.000000  0.000000  0.190000  0.000000  0.000000  0.000000  
  5000  0.010000  0.000000  0.000000  0.010000  0.000000  0.000000  0.190000  0.000000  0.000000  0.000000  0.000000  0.190000  0.000000  0.000000  0.000000  
  5100  0.010000  0.000000  0.020000  0.000000  0.010000  0.000000  0.200000  0.000000  0.000000  0.000000  0.000000  0.190000  0.000000  0.000000  0.000000  
  5200  0.000000  0.010000  0.000000  0.010000  0.000000  0.000000  0.210000  0.000000  0.000000  0.000000  0.000000  0.200000  0.000000  0.000000  0.000000  
