# Iterator SIGN_CUDA_INV 
 1000 0.000900 
 2000 0.000900 
 3000 0.000900 
 4000 0.000700 
 5000 0.000700 
 6000 0.001000 
 7000 0.000800 
 8000 0.001000 
 9000 0.001200 
 10000 0.000800 
