# Iterator BIT_CUDA_INV 
 1000 0.000150 
 2000 0.000180 
 3000 0.000210 
 4000 0.000160 
 5000 0.000120 
 6000 0.000140 
 7000 0.000170 
 8000 0.000160 
 9000 0.000180 
 10000 0.000170 
