# Iterator FLOAT_CUDA_REDUC 
 1000 0.023000 
 2000 0.032000 
 3000 0.042000 
 4000 0.048000 
 5000 0.054000 
 6000 0.058000 
 7000 0.070000 
 8000 0.077000 
 9000 0.084000 
 10000 0.089000 
