# Iterator BIT_CUDA_REDUC 
 1000 0.000500 
 2000 0.001000 
 3000 0.000600 
 4000 0.000900 
 5000 0.000900 
 6000 0.000700 
 7000 0.000800 
 8000 0.000900 
 9000 0.000800 
 10000 0.001000 
