# Size  FLOAT_C  FLOAT_SSE2  FLOAT_CUDA  FLOAT_CUDA_REDUC  FLOAT_CUDA_INV  BIT_C  BIT_SSE2  BIT_CUDA  BIT_CUDA_REDUC  BIT_CUDA_INV  SIGN_C  SIGN_SSE2  SIGN_CUDA  SIGN_CUDA_REDUC  SIGN_CUDA_INV 
  2700  0.010000  0.000000  0.000000  0.010000  0.000000  0.000000  0.100000  0.000000  0.000000  0.000000  0.000000  0.100000  0.000000  0.000000  0.000000  
  2800  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.110000  0.000000  0.000000  0.000000  0.000000  0.100000  0.000000  0.000000  0.000000  
  2900  0.000000  0.000000  0.000000  0.000000  0.010000  0.000000  0.100000  0.000000  0.000000  0.000000  0.000000  0.110000  0.000000  0.000000  0.000000  
  3000  0.000000  0.000000  0.010000  0.000000  0.000000  0.000000  0.110000  0.000000  0.010000  0.000000  0.000000  0.110000  0.000000  0.000000  0.000000  
  3100  0.010000  0.000000  0.000000  0.000000  0.000000  0.000000  0.110000  0.000000  0.000000  0.010000  0.000000  0.110000  0.000000  0.000000  0.000000  
  3200  0.000000  0.000000  0.010000  0.000000  0.000000  0.000000  0.120000  0.000000  0.000000  0.000000  0.000000  0.130000  0.000000  0.000000  0.000000  
  3300  0.000000  0.000000  0.000000  0.000000  0.000000  0.010000  0.120000  0.000000  0.000000  0.000000  0.000000  0.120000  0.000000  0.000000  0.000000  
  3400  0.000000  0.000000  0.000000  0.000000  0.010000  0.000000  0.130000  0.000000  0.000000  0.000000  0.010000  0.130000  0.000000  0.000000  0.000000  
  3500  0.010000  0.000000  0.000000  0.000000  0.000000  0.000000  0.140000  0.000000  0.000000  0.000000  0.000000  0.140000  0.000000  0.000000  0.000000  
  3600  0.000000  0.000000  0.000000  0.000000  0.010000  0.000000  0.140000  0.000000  0.000000  0.000000  0.000000  0.140000  0.000000  0.000000  0.000000  
  3700  0.010000  0.000000  0.010000  0.000000  0.000000  0.000000  0.150000  0.000000  0.000000  0.000000  0.000000  0.150000  0.000000  0.000000  0.000000  
  3800  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.140000  0.000000  0.000000  0.000000  0.000000  0.150000  0.000000  0.000000  0.000000  
  3900  0.000000  0.000000  0.000000  0.010000  0.000000  0.000000  0.140000  0.000000  0.000000  0.000000  0.000000  0.150000  0.000000  0.000000  0.000000  
  4000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.140000  0.000000  0.000000  0.000000  0.000000  0.160000  0.000000  0.000000  0.000000  
  4100  0.000000  0.010000  0.000000  0.000000  0.010000  0.000000  0.150000  0.000000  0.000000  0.000000  0.000000  0.150000  0.000000  0.000000  0.000000  
  4200  0.000000  0.000000  0.000000  0.010000  0.010000  0.000000  0.150000  0.000000  0.000000  0.000000  0.000000  0.160000  0.000000  0.000000  0.000000  
  4300  0.000000  0.000000  0.010000  0.000000  0.010000  0.000000  0.160000  0.000000  0.000000  0.000000  0.000000  0.160000  0.000000  0.000000  0.000000  
  4400  0.000000  0.010000  0.000000  0.000000  0.010000  0.000000  0.160000  0.000000  0.000000  0.000000  0.000000  0.160000  0.000000  0.000000  0.000000  
  4500  0.000000  0.010000  0.010000  0.000000  0.010000  0.000000  0.160000  0.000000  0.000000  0.000000  0.000000  0.170000  0.000000  0.000000  0.000000  
  4600  0.010000  0.000000  0.010000  0.000000  0.000000  0.000000  0.160000  0.000000  0.000000  0.000000  0.000000  0.170000  0.000000  0.000000  0.000000  
  4700  0.000000  0.010000  0.000000  0.010000  0.010000  0.000000  0.170000  0.000000  0.000000  0.000000  0.000000  0.180000  0.000000  0.000000  0.000000  
  4800  0.000000  0.010000  0.010000  0.000000  0.010000  0.000000  0.170000  0.000000  0.000000  0.000000  0.000000  0.190000  0.000000  0.000000  0.000000  
  4900  0.010000  0.010000  0.000000  0.010000  0.000000  0.000000  0.180000  0.000000  0.000000  0.000000  0.000000  0.190000  0.000000  0.000000  0.010000  
  5000  0.000000  0.010000  0.000000  0.010000  0.010000  0.000000  0.190000  0.000000  0.000000  0.000000  0.000000  0.200000  0.000000  0.000000  0.010000  
  5100  0.000000  0.010000  0.000000  0.010000  0.010000  0.000000  0.190
