# Iterator BIT_SSE2 
 1000 0.000100 
 2000 0.000000 
 3000 0.000000 
 4000 0.000100 
 5000 0.000100 
 6000 0.000100 
 7000 0.000100 
 8000 0.000200 
 9000 0.000200 
 10000 0.000200 
