# Iterator SIGN_CUDA_REDUC 
 1000 0.020000 
 2000 0.028000 
 3000 0.039000 
 4000 0.043000 
 5000 0.051000 
 6000 0.056000 
 7000 0.067000 
 8000 0.075000 
 9000 0.083000 
 10000 0.090000 
