# Iterator FLOAT_SSE2 
 1000 0.000000 
 2000 0.000000 
 3000 0.000000 
 4000 0.000500 
 5000 0.000500 
 6000 0.001000 
 7000 0.001000 
 8000 0.001000 
 9000 0.001000 
 10000 0.001000 
