# Iterator SIGN_CUDA_REDUC 
 1000 0.001000 
 2000 0.001000 
 3000 0.001300 
 4000 0.000800 
 5000 0.000900 
 6000 0.001600 
 7000 0.001000 
 8000 0.000700 
 9000 0.001300 
 10000 0.000900 
