# Iterator BIT_CUDA_INV 
 1000 0.001100 
 2000 0.001100 
 3000 0.001000 
 4000 0.000800 
 5000 0.001600 
 6000 0.000800 
 7000 0.000600 
 8000 0.000700 
 9000 0.001300 
 10000 0.000700 
