32  0
64  0
96  0
128  0
160  0
192  0.01
224  0.43
256  0
288  0.14
320  0.06
352  0.45
384  0.84
416  1.3
448  1.17
480  1.16
512  1.17
544  1.53
576  1.42
608  1.08
640  1.08
672  1.59
704  1.73
736  1.75
768  2.01
800  1.92
832  2.19
864  2.29
896  2.02
928  2.24
960  2.32
992  2.21
1024  2.7
1056  2.64
1088  2.67
1120  2.44
1152  2.9
1184  2.79
1216  2.99
1248  2.99
1280  3.02
1312  3
1344  3.01
1376  3.65
1408  3.1
1440  4
1472  3.21
1504  3.9
1536  3.74
1568  3.9
1600  4.18
1632  4.32
1664  4.47
1696  4.21
1728  4.31
1760  4.56
1792  4.98
1824  4.78
1856  4.49
1888  4.78
1920  5.28
1952  5.39
1984  5.36
2016  5.46
2048  5.44
