32  0
64  0
96  0
128  0
160  0
192  0
224  0
256  0
288  0
320  0
352  0
384  0
416  0
448  0.01
480  0
512  0
544  0
576  0
608  0
640  0.01
672  0
704  0
736  0.01
768  0
800  0
832  0
864  0
896  0
928  0
960  0
992  0
1024  0.01
1056  0
1088  0
1120  0
1152  0
1184  0
1216  0
1248  0.01
1280  0
1312  0
1344  0
1376  0
1408  0.01
1440  0.01
1472  0
1504  0
1536  0
1568  0.01
1600  0.01
1632  0.01
1664  0.01
1696  0.01
1728  0.01
1760  0
1792  0
1824  0
1856  0
1888  0.01
1920  0.01
1952  0
1984  0.01
2016  0.01
2048  0.01
2080  0
2112  0.01
2144  0.01
2176  0
2208  0.01
2240  0
2272  0.01
2304  0
2336  0.01
2368  0.01
2400  0.01
2432  0.01
2464  0.01
2496  0.01
2528  0.01
2560  0.01
2592  0.02
2624  0.01
2656  0
2688  0.01
2720  0.01
2752  0.02
2784  0.01
2816  0.01
2848  0.01
2880  0.01
2912  0.01
2944  0.01
2976  0.02
3008  0.01
3040  0.02
3072  0.02
3104  0.01
3136  0.01
3168  0.01
3200  0.02
3232  0.01
3264  0.01
3296  0.02
3328  0.02
3360  0.01
3392  0.02
3424  0.02
3456  0.02
3488  0.02
3520  0.02
3552  0.02
3584  0.02
3616  0.01
3648  0.02
3680  0.02
3712  0.02
3744  0.02
3776  0.02
3808  0.02
3840  0.02
3872  0.02
3904  0.02
3936  0.02
3968  0.02
4000  0.02
4032  0.02
4064  0.02
4096  0.03
