# Iterator BIT_CUDA_REDUC 
 1000 0.023000 
 2000 0.032000 
 3000 0.039000 
 4000 0.042000 
 5000 0.050000 
 6000 0.058000 
 7000 0.066000 
 8000 0.074000 
 9000 0.085000 
 10000 0.088000 
