# Iterator BIT_CUDA_REDUC 
 1000 0.000120 
 2000 0.000140 
 3000 0.000090 
 4000 0.000150 
 5000 0.000150 
 6000 0.000130 
 7000 0.000110 
 8000 0.000080 
 9000 0.000130 
 10000 0.000160 
