# population_NumSelection TOURNAMENT_15.000000_400.000000 
 50.000000 0.019400 
 100.000000 0.030820 
 150.000000 0.042900 
 200.000000 0.054000 
 250.000000 0.065140 
 300.000000 0.076760 
