# Iterator FLOAT_CUDA_REDUC 
 1000 0.001200 
 2000 0.001000 
 3000 0.000900 
 4000 0.001100 
 5000 0.000900 
 6000 0.001300 
 7000 0.001000 
 8000 0.000800 
 9000 0.001100 
 10000 0.001000 
