# Iterator SIGN_CUDA_INV 
 1000 0.000130 
 2000 0.000110 
 3000 0.000130 
 4000 0.000120 
 5000 0.000120 
 6000 0.000120 
 7000 0.000110 
 8000 0.000130 
 9000 0.000090 
 10000 0.000130 
