# Iterator FLOAT_CUDA_INV 
 1000 0.001200 
 2000 0.001200 
 3000 0.001000 
 4000 0.001200 
 5000 0.000900 
 6000 0.000800 
 7000 0.000900 
 8000 0.001100 
 9000 0.001400 
 10000 0.001100 
